,Adj Close 2023-03-02,Adj Close 2023-03-03,Adj Close 2023-03-06,Adj Close 2023-03-07,Adj Close 2023-03-08,Adj Close 2023-03-09,Adj Close 2023-03-10,Adj Close 2023-03-13,Adj Close 2023-03-14,Adj Close 2023-03-15,Adj Close 2023-03-16,Adj Close 2023-03-17,Adj Close 2023-03-20
K,60.400062561035156,60.142333984375,59.92142868041992,59.405975341796875,59.571659088134766,59.01938247680664,58.80767822265625,59.14824676513672,59.50722122192383,60.06869888305664,59.80176544189453,59.59006118774414,59.8477897644043
KDP,33.929561614990234,33.900123596191406,34.16504669189453,34.174861907958984,34.125797271728516,33.909934997558594,33.67445373535156,33.60576629638672,33.97862243652344,34.26316833496094,34.43977737426758,34.20429611206055,34.557525634765625
KEY,17.235448837280273,17.610340118408203,17.44692611694336,16.870168685913086,16.63946533203125,15.44749927520752,15.053380966186523,10.93917465209961,11.698573112487793,11.294841766357422,11.804311752319336,11.083364486694336,11.217941284179688
KEYS,157.83999633789062,159.6999969482422,159.36000061035156,158.00999450683594,158.3800048828125,157.4199981689453,154.50999450683594,154.19000244140625,156.77000427246094,154.4499969482422,155.38999938964844,155.16000366210938,155.55999755859375
KHC,37.40931701660156,37.77701950073242,37.728641510009766,37.38996505737305,37.080318450927734,36.95319747924805,37.09987258911133,37.2758903503418,37.29544448852539,37.26611328125,37.33456039428711,36.7967414855957,37.09987258911133
KIM,19.718231201171875,19.92071533203125,19.747156143188477,19.004709243774414,19.512022018432617,19.102270126342773,18.32179069519043,18.49739646911621,18.731542587280273,18.214473724365234,17.902280807495117,17.238872528076172,17.658382415771484
KLAC,376.01434326171875,379.2148132324219,377.3660888671875,373.12200927734375,385.0591125488281,376.17340087890625,365.2799072265625,362.6062316894531,376.72003173828125,368.0628967285156,387.5340270996094,385.3970642089844,387.57379150390625
KMB,123.20674133300781,123.03166198730469,122.73013305664062,120.22067260742188,120.41521453857422,120.40538787841797,120.1402359008789,120.866943359375,121.42668914794922,123.55767059326172,124.6280746459961,123.11576080322266,126.16983795166016
KMI,16.901653289794922,17.08557891845703,17.05653953552246,16.7951717376709,16.766130447387695,16.591886520385742,16.233718872070312,16.311161041259766,16.398283004760742,16.049795150756836,16.020753860473633,15.759389877319336,16.001394271850586
KMX,67.86000061035156,70.3499984741211,68.7699966430664,68.80000305175781,70.4800033569336,66.37000274658203,63.72999954223633,61.209999084472656,60.33000183105469,59.130001068115234,58.47999954223633,56.2599983215332,56.7599983215332
KO,58.354488372802734,58.08088684082031,58.979854583740234,58.63785171508789,58.66716766357422,58.100425720214844,57.856143951416016,58.44242858886719,58.65739440917969,59.04825210571289,59.37317657470703,59.09748077392578,59.6685676574707
KR,45.218814849853516,45.46602249145508,45.96043014526367,46.385623931884766,46.919593811035156,46.721824645996094,46.57350158691406,46.3262939453125,46.652610778808594,47.75020217895508,46.60316848754883,46.257076263427734,46.82070541381836
L,61.31260299682617,61.63193893432617,61.20283508300781,59.60615158081055,58.72797393798828,58.04938507080078,57.23108673095703,55.42483901977539,56.163307189941406,54.197391510009766,55.754154205322266,53.478885650634766,55.14542007446289
LDOS,95.7921371459961,96.1379623413086,95.7921371459961,95.36727142333984,92.93666076660156,91.6324234008789,91.3952865600586,91.1285171508789,92.5172119140625,91.56495666503906,91.77326202392578,89.72988891601562,90.84085845947266
LEN,95.1333236694336,96.66837310791016,96.24252319335938,95.8958969116211,98.12419128417969,97.638916015625,96.44058990478516,98.0053482055664,99.79788208007812,99.22348022460938,103.19479370117188,102.50154876708984,101.32302856445312
LH,204.24374389648438,204.14991760253906,202.2393341064453,197.46290588378906,196.14085388183594,191.185302734375,189.84619140625,187.00592041015625,189.5476837158203,186.9803466796875,186.87799072265625,181.94802856445312,185.4194793701172
LHX,208.3072509765625,210.25111389160156,210.0056610107422,207.97344970703125,204.1348114013672,201.76564025878906,200.75872802734375,198.76467895507812,199.98873901367188,198.2019805908203,199.6728515625,192.7429962158203,194.50999450683594
LIN,348.0232238769531,358.5406188964844,354.2565002441406,350.387939453125,351.13983154296875,342.2550048828125,337.92138671875,332.5238342285156,340.0814208984375,328.65069580078125,335.96002197265625,328.2137451171875,336.4764404296875
LKQ,57.34151840209961,57.449859619140625,56.671783447265625,56.71117401123047,56.671783447265625,55.13531494140625,53.77614212036133,52.604095458984375,53.687496185302734,52.83123016357422,54.18740463256836,53.49446487426758,54.19729995727539
LLY,313.56048583984375,316.92449951171875,317.4519958496094,309.161376953125,311.0623779296875,315.3519592285156,313.5306091308594,322.9558410644531,325.5236511230469,327.91229248046875,327.9720153808594,327.6236572265625,332.02276611328125
LMT,471.956298828125,471.5419006347656,473.7916259765625,472.3016662597656,473.1305236816406,469.52899169921875,469.18365478515625,470.98931884765625,472.5088806152344,467.0227355957031,466.95367431640625,459.6815490722656,469.3810119628906
LNT,50.737728118896484,51.209800720214844,51.10161590576172,50.14764404296875,50.71805953979492,50.413177490234375,49.36085510253906,50.629547119140625,51.19996643066406,52.222782135009766,52.60634231567383,52.2916259765625,52.87187957763672
LOW,193.21673583984375,197.80203247070312,199.62428283691406,195.5044403076172,199.19842529296875,197.12860107421875,194.76168823242188,195.64309692382812,194.93002319335938,196.67303466796875,197.74261474609375,195.45492553710938,194.89041137695312
LRCX,485.3988952636719,487.0532531738281,480.6833801269531,475.1753845214844,488.78692626953125,485.69610595703125,474.3432312011719,472.5402526855469,491.1376037597656,484.24749755859375,512.2255249023438,505.4348449707031,510.33648681640625
LUV,33.369564056396484,33.62533950805664,33.212158203125,33.004459381103516,33.528656005859375,32.71763610839844,32.411033630371094,30.71976089477539,30.195568084716797,29.40433120727539,30.146114349365234,29.701045989990234,29.750497817993164
LVS,59.962303161621094,60.59012985229492,59.733097076416016,58.79634094238281,58.846168518066406,56.32490158081055,56.01597213745117,55.74690246582031,55.68711471557617,52.926673889160156,54.281978607177734,54.501216888427734,54.770286560058594
LW,101.76424407958984,101.4459228515625,101.45586395263672,100.44120788574219,99.40665435791016,98.68047332763672,97.11869812011719,95.80561065673828,98.10352325439453,97.47681427001953,97.7752456665039,96.80037689208984,98.56111145019531
LYB,93.91863250732422,94.63883209228516,92.90644836425781,90.59011840820312,91.31031799316406,88.72147369384766,86.5511245727539,84.4586410522461,85.05232238769531,81.90872955322266,82.76519012451172,82.4148178100586,84.80901336669922
